"PC1","PC2","PC3","celltype"
-0.428684800036703,-0.0847266508731726,-0.899472476982652,"neoblast 1"
-0.058708191788232,-0.131204563338256,-0.989615435801288,"neoblast 1"
-0.281364678786815,0.356959160006059,-0.890737938800723,"neoblast 1"
-0.189839869453211,0.0135214171598646,-0.981721954141791,"gut progenitors"
0.134365562275547,0.983722602718478,-0.119313605993448,"early epidermal progenitors"
-0.548361266770357,0.429690978532318,-0.717401968267406,"neoblast 1"
0.913626870330949,-0.402595767878054,0.0565914259933119,"phagocytes"
-0.663813229902981,0.111405020252162,-0.739554539752402,"neoblast 1"
0.64271587460537,-0.446970081493066,-0.622200972982473,"parenchymal progenitors"
-0.0422113960659642,-0.0454524507948465,-0.9980742821849,"neoblast 1"
-0.306372300275332,0.167568139577428,-0.93704692103574,"neoblast 1"
-0.498829266385866,0.412333303223641,-0.762332348814885,"neoblast 1"
-0.509186464988726,-0.427241647142601,-0.747123630210665,"muscle progenitors"
0.035525797946916,0.303634692785958,-0.952125984844974,"neoblast 1"
-0.627064624855622,-0.249723524932169,-0.737853723545616,"early epidermal progenitors"
-0.656861570563884,0.180575330858327,-0.732069277460647,"early epidermal progenitors"
-0.236393631404677,0.928039782927749,-0.287854498548705,"early epidermal progenitors"
-0.120344939582948,0.281019117066065,-0.952126751730139,"neoblast 1"
-0.135315838023238,0.388223607379669,-0.911576686106652,"neoblast 10"
-0.209347715477031,0.315540647200354,-0.925531001095549,"neoblast 1"
-0.0692517078568688,0.237802130906353,-0.968841755652235,"gut progenitors"
-0.458069749890585,0.291481744695829,-0.839768120819225,"neoblast 1"
0.876961371879562,-0.318064726012018,-0.36024100585305,"gut progenitors"
-0.362374678488965,-0.0169281482288094,-0.931878763674526,"neoblast 1"
-0.083818488051089,0.791081769213898,0.605940669932493,"late epidermal progenitors 1"
-0.806803497536363,-0.0754643683811287,-0.585980584548609,"neoblast 1"
0.730823171644932,-0.135820187206507,-0.668917310684984,"gut progenitors"
-0.480763862699857,0.217133897959633,-0.849540451467009,"neoblast 1"
0.088896857240503,-0.029608067841066,-0.995600678531047,"gut progenitors"
0.462498714464701,-0.368528936776081,-0.806400249179767,"neoblast 1"
-0.375741771838292,0.262700256759617,-0.888710693079729,"neoblast 1"
-0.3618406093706,0.345868380571384,-0.865705744887512,"neoblast 1"
-0.13915906295841,0.44034199247401,-0.886980092708149,"neoblast 1"
-0.375919249694939,-0.509405382995381,-0.774074204120072,"neoblast 1"
-0.0904668198883211,0.709885201796319,0.698483181450988,"late epidermal progenitors 1"
-0.429130532659879,0.0522448090741902,-0.901730262253547,"neoblast 1"
-0.64310093769832,0.0948794311535319,-0.759880962701083,"neoblast 1"
-0.451595244338745,0.199447132108894,-0.869645086678564,"neoblast 1"
-0.334949508883894,0.426371637595905,-0.840247614190141,"neoblast 1"
-0.348427181869787,0.283066028759124,-0.89357267320393,"neoblast 1"
-0.216145801201802,0.110029262990052,-0.970141512310806,"neoblast 1"
-0.452903948746481,0.694056218760624,-0.559610559594393,"neoblast 1"
-0.219844812267094,0.365925689152546,-0.904304510957167,"neoblast 1"
-0.471602085886912,0.249937038160365,-0.845649424727965,"neoblast 1"
-0.54018840488748,0.108506462448164,-0.834519523337894,"secretory 1"
-0.537163596710834,-0.837892175984056,0.0969121859901213,"muscle progenitors"
-0.0713207640781249,0.715326241488457,0.695141508506944,"late epidermal progenitors 2"
-0.177501367532959,-0.109979095613576,-0.977955961713997,"neoblast 1"
-0.319671623420845,0.483475466743269,-0.814899703176323,"neoblast 1"
-0.296215480263824,0.0538347008031334,-0.953602754946476,"neoblast 1"
-0.409037956164459,0.421311498740055,-0.809434723400356,"neoblast 1"
-0.51092524067521,0.138697832443872,-0.84836213359411,"neoblast 1"
0.166714541041796,0.318455700732669,-0.933162487713736,"neoblast 1"
-0.592130048121412,0.597660237073908,-0.540540698867805,"neoblast 1"
0.696336464454887,-0.304584928432077,-0.649879642428115,"parenchymal progenitors"
-0.00777502061344757,0.499925898122622,-0.866033281947496,"neoblast 1"
-0.0992534623308213,-0.0935241371106948,-0.990657350446179,"neoblast 1"
-0.661063855958,0.406761772687094,-0.630507286735367,"neoblast 1"
-0.355689844323475,0.330236525570696,-0.87431605945684,"neoblast 1"
-0.540593937311101,0.23513947898379,-0.807754678331059,"neoblast 1"
-0.450386186353685,-0.884411788547265,0.122344069821187,"muscle body"
0.906000887791305,-0.416534216944961,-0.0752438531404088,"aqp+ parenchymal cells"
-0.113462586095229,0.726512759528697,0.677720777163118,"secretory 4"
-0.500699412269096,0.0157981989272659,-0.865477045024324,"neoblast 1"
-0.20643335157418,0.918949968438038,-0.336030098154287,"early epidermal progenitors"
-0.0939668518185061,0.698697202446451,0.709219606365209,"early epidermal progenitors"
0.773000388572433,-0.34650794578259,-0.531415696772684,"parenchymal progenitors"
-0.151505570196189,0.984247427109057,-0.0911211524769522,"early epidermal progenitors"
-0.32444183562046,0.208664282493802,-0.922603225937658,"neoblast 1"
-0.525975860413021,-0.353968364389794,-0.773340669610746,"neoblast 1"
-0.176000683680895,0.323709150555703,-0.929643020298847,"neoblast 1"
-0.0592087996690873,0.970910633439318,0.232006163530646,"early epidermal progenitors"
-0.482096853266914,-0.875171381202486,-0.0407145869962205,"muscle body"
-0.772552618320627,0.0401037525645935,0.633682997212471,"spp-11+ neurons"
-0.342743088783253,0.453447709550929,-0.82274683213874,"neoblast 1"
0.878178891800632,-0.478100533303087,-0.0148900655175935,"psap+ parenchymal cells"
-0.257318746400566,0.719840240242499,-0.644683714140867,"early epidermal progenitors"
0.906801213796153,-0.361590703288012,-0.216711148659926,"ldlrr-1+ parenchymal cells"
0.914064311013061,-0.269068009709462,-0.303461433271521,"ldlrr-1+ parenchymal cells"
-0.537666646165216,0.794273209962399,-0.282921624372325,"early epidermal progenitors"
-0.319867433550331,0.3449356574335,-0.882442189146034,"neoblast 1"
-0.143177924755719,0.312153258532859,0.939180720122578,"GABA neurons"
-0.210004757921692,0.263516016150176,-0.941518619509244,"neoblast 1"
-0.145847146888057,0.983079409104767,-0.110830885311069,"early epidermal progenitors"
-0.480003519642236,0.442994091868406,-0.757200670694864,"neoblast 1"
-0.269846145752556,0.75522625332321,-0.597341078374723,"neoblast 1"
-0.185225702977498,0.980365493954228,-0.0676382822104091,"early epidermal progenitors"
-0.34395945014657,0.358942644643565,-0.867670487288321,"neoblast 1"
-0.171120006064779,0.985237463422117,0.00500841231745124,"early epidermal progenitors"
-0.219093702323394,0.323627311592253,-0.920469072154952,"neoblast 1"
-0.576329962408594,0.336810170084142,-0.744582220952126,"neoblast 1"
0.206273226056561,0.116336612710658,0.971553986536636,"pharynx cell type progenitors"
0.0288229852176333,0.347824051460705,-0.937116676166103,"neoblast 1"
-0.0526373786553893,0.906256851860463,-0.41943751003487,"early epidermal progenitors"
-0.217863163842866,0.766252252901047,-0.604477565145677,"early epidermal progenitors"
-0.495733983665258,0.346820039077671,-0.796218360711141,"neoblast 1"
-0.612796154426063,-0.494813345364037,-0.616149840842533,"neoblast 1"
-0.264012672013011,0.407931734791902,-0.874007442054253,"neoblast 1"
0.0982008201385964,-0.976381134236413,-0.192448641541899,"ldlrr-1+ parenchymal cells"
-0.213867830890722,0.63838658354775,-0.739407276713131,"neoblast 1"
-0.246847715671127,-0.607766508215997,0.754775514148996,"otf+ cells 1"
-0.0868972250849916,0.518309343587884,-0.850766887356358,"neoblast 1"
-0.204785389938971,0.602507555451634,-0.771393278225342,"neoblast 1"
-0.0150003310536579,0.571276376241429,0.82062067486552,"late epidermal progenitors 2"
-0.48448234079567,0.147049321926008,-0.862353383699658,"neoblast 1"
-0.274199577836245,0.903265942220005,-0.330038223755721,"early epidermal progenitors"
-0.412959864393478,0.380436286942032,-0.827485578108694,"neoblast 1"
-0.400626321003232,0.36894462596503,-0.838676584799492,"neoblast 1"
0.9060397204371,-0.414342928346242,-0.0860927564881219,"pgrn+ parenchymal cells"
-0.609669297998719,0.21847002281982,-0.761954195609458,"neoblast 1"
-0.152882363923077,0.419031323192232,-0.895008230680064,"neoblast 10"
0.101621594910942,0.985234753971146,0.137787993000736,"early epidermal progenitors"
0.876646978303758,-0.444677302828112,-0.183717641451239,"pigment"
-0.641819570343595,0.192740695915503,-0.742238952940339,"neoblast 1"
-0.693495265795423,0.689710209563653,0.208240589566483,"secretory 4"
-0.465591493138823,0.66573591959287,-0.583112550782949,"neoblast 1"
-0.565877847149931,0.139619608467648,-0.812581458708172,"neoblast 1"
-0.173200756723839,0.318608821092293,-0.931928064279893,"neoblast 1"
-0.423994242169153,0.526469310745023,-0.736925333701499,"neoblast 1"
-0.42322296511026,0.89836669674058,0.117556794744917,"early epidermal progenitors"
-0.250986118722783,0.431435793713257,-0.866527047536016,"neoblast 1"
-0.523427582364038,0.302694117056342,-0.796492208072383,"neoblast 10"
-0.135687799199218,0.330784792602561,-0.933900552591845,"neoblast 1"
-0.0830229288028995,0.206045892750618,-0.975013991373247,"neoblast 1"
0.221874457726612,0.582525394905836,-0.781943661204771,"neoblast 1"
-0.251012375649016,0.811848294665124,-0.527157598560779,"early epidermal progenitors"
-0.822091143495997,0.0824607129998687,-0.563352804729859,"neoblast 1"
-0.386532416242779,0.351195381321511,-0.852792175932658,"neoblast 1"
0.0110918449049376,0.58888837718172,0.808138261807276,"late epidermal progenitors 2"
-0.702124423064851,0.163246540620177,-0.693088639000378,"neoblast 1"
0.90370755414823,-0.428143781549031,-0.00235773118071498,"aqp+ parenchymal cells"
-0.513306574917773,0.55415565626453,-0.655307461254801,"neoblast 1"
0.183323513426129,-0.208158212005958,-0.9607614939201,"neoblast 1"
-0.135830034088716,0.0188692214924933,-0.99055244905039,"neoblast 1"
-0.481255860770548,0.556514834768057,-0.677262161320918,"neoblast 1"
0.879221168235176,-0.476191563732593,0.0145510122355778,"psap+ parenchymal cells"
-0.818238855948431,-0.135840763741584,-0.558598658718678,"secretory 1"
-0.263707567650264,0.268366716826065,-0.926519089961982,"neoblast 1"
-0.438614204316895,0.0302943177702447,-0.898164703204425,"neoblast 1"
0.921246637563777,-0.363075410859341,-0.139573918791282,"ldlrr-1+ parenchymal cells"
-0.0393592429165739,0.554156426446496,0.83148151213667,"neoblast 1"
-0.0612587359917219,0.565442603246027,-0.822509592466284,"neoblast 1"
-0.418634230839263,0.12355161869462,-0.89971127495856,"neoblast 1"
-0.0717955026406757,0.334636450184771,-0.939608350329172,"neoblast 1"
